Account,total_trades,total_pnl,win_rate,avg_profit,avg_loss
0x083384f897ee0f19899168e3b1bec365f52a9012,1732,1600229.819979,79.27251732101617,1479.7562025433358,-1201.8814654958214
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4166,47885.320514,77.36437830052807,28.234195034129698,-45.719501676564164
0x271b280974205ca63b716753467d5a371de622ab,1607,-70436.191318,71.5619166148102,54.73115818173913,-291.85344250984684
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,6771,132494.029922,86.22064687638458,29.343737222165124,-41.60204499571275
0x2c229d22b100a7beb69122eed721cee9b24011dd,2060,168658.004994,81.74757281553397,107.3279254388361,-32.13356767287234
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,570,-31203.599986,65.08771929824562,137.6704304393531,-413.4639682361809
0x39cef799f8b69da1995852eea189df24eb5cae3c,1767,14456.919335999997,66.553480475382,201.2334975297619,-375.96222294247036
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,158,53496.247243,100.0,338.58384331012667,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,90,199505.592732,100.0,2216.7288081333327,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,591,359063.416315,100.0,607.5523118697123,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3663,103343.716161,82.20038220038221,47.994529433410825,-63.14081589417178
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2233,677747.050643,94.8499776085983,326.17082455665724,-113.76309363478263
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2949,308975.869716,92.67548321464903,191.99644568971826,-998.8445201574075
0x513b8629fe877bb581bf244e326a047b249c4ff1,5482,840422.555216,89.54761036118205,206.1246280002037,-299.2028684764398
0x6d6a4b953f202f8df5bed40692e7fd865318264a,426,108731.216772,98.82629107981221,258.49125739192397,-18.720518
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,737,429355.565915,74.6268656716418,901.7393113981818,-356.15537622459897
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,564,403011.504159,77.6595744680851,1019.3269694703197,-344.8707021349207
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8660,379095.406711,92.63279445727483,53.47135531837447,-78.1376264153605
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,746,14900.443047,94.50402144772117,24.417208460992903,-56.43143702439025
0x8170715b3b381dffb7062c0298972d4727a0a63b,2340,-154868.211741,75.25641025641025,182.92393992674616,-823.8294817823834
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,714,65513.657906,88.37535014005601,112.74372159746433,-67.8027761686747
0x8477e447846c758f5a675856001ea72298fd9cb5,6559,43917.008976,59.90242415002287,28.835376653855942,-26.379158135741445
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,892,126578.942134,97.6457399103139,146.0892554305396,-31.65711171428571
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,5561,106302.875256,97.0329077504046,21.581669636582653,-61.52614607878788
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,255,72846.484272,93.72549019607843,379.2153124728033,-1111.6234630625
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,230,67845.619531,100.0,294.9809544826087,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,230,21758.831753,74.78260869565217,148.95702829069765,-66.58236401724137
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6279,2143382.597689,79.1049530179965,443.82026523072284,-46.54928331707317
0xb899e522b5715391ae1d4f137653e7906c5e2115,2641,22488.500821,80.34835289663006,54.48852297031103,-179.45307306743734
0xbaaaf6571ab7d571043ff1e313a9609a10637864,9997,940163.80622,99.11973592077624,94.88327396336663,-0.39267594318181814
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1177,220519.061853,73.49192863211555,645.8232859791908,-1083.7117965352566
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,22551,836080.553077,76.30703738193428,65.56040683751743,-54.666465989706154
